F3,F4,C3,Cz,C4,P3,P4,accX,accY,accZ,label
2.511424295,1.528376524,2.270102256,2.838515136,2.053296813,1.721448105,2.697507847,17.6875,807.4375,-463,0
-3.160885789,-2.874412531,-5.549363104,-3.274370955,-3.532335685,-1.82078088,-4.958144923,17.4375,808.4375,-459.5625,0
1.065057652,2.035909612,3.684731095,1.082661994,2.187537711,0.9867960518,0.852798777,10.9375,804.4375,-467.5625,2
0.2945954338,0.9647296902,-0.3756842337,0.05189717019,0.6611158921,-1.010280422,5.065107581,14.5,803.25,-471.625,2
-0.6290444469,-0.1619889076,0.3261068165,0.9555304645,0.9557937853,2.728267896,-1.111140379,21.5625,809,-454.5,2
1.045015655,-1.081595039,0.8829936732,0.2182757599,-2.031010832,-0.2968782644,-1.388514848,20.25,818.9375,-444.125,2
1.167541404,1.058584827,0.7666614043,0.9027678401,2.519642241,-0.4352841466,-0.8832036564,21.375,813.625,-450.8125,2
-2.628218495,-2.189424622,-2.825187193,-3.916593195,-3.335144256,-1.32536326,-1.029276692,22.1875,807.375,-460.375,2
3.392114748,3.036476594,1.961496338,5.05312339,1.850456997,2.76135974,7.775152732,28.875,812.5625,-453.8125,2
-1.662881987,-1.569530397,-0.362864873,-3.392029466,-0.5337751965,-3.879331431,-8.441851192,30.5,813.0625,-449.625,2
1.369462857,1.331421414,0.4843022027,2.210472772,0.9796073007,3.708831726,6.480611983,30.4375,807.5,-464.3125,2
-3.101130911,-1.922454623,-3.009003234,-2.272397629,-1.085808709,-4.382569312,-6.041851269,24,809.875,-456.1875,2
0.4907008059,-1.260599827,2.757659489,0.9208118542,-1.405226205,3.854575422,2.482803511,19.75,822.5,-436.625,2
0.3873345359,1.621370793,-1.424944538,-1.033338966,1.751539961,-1.080392308,-0.5981113685,22.3125,811.3125,-456.1875,2
0.9305314661,-1.009612605,0.3703250258,1.356771657,-1.129418257,0.6580442128,0.802878895,28.75,799.9375,-474.375,2
-3.678885744,-1.046877726,-1.849565077,-2.865084056,0.1911646149,-3.270638695,-5.32166703,34.5,810.9375,-452.0625,2
1.722558453,-0.2474481593,2.08698545,1.896824368,-1.479864634,2.419522778,6.701384737,29.375,817.375,-442.4375,2
1.632037418,3.716968864,0.4350256309,1.377545593,3.36034903,0.03318689186,-2.982446892,43.9375,794.25,-479.8125,2
0.270804229,-1.57038863,0.4594095757,-0.2873280539,-0.5787613301,0.7308462202,1.403408889,33.5,799.4375,-472.5,2
1.713870936,1.512963386,-0.9192097102,-0.3821028209,-0.7960854179,-1.717716432,-1.283026373,20,816.375,-445,2
-1.635927823,0.285406457,1.364903361,1.708079987,2.779350036,3.327197299,2.316238553,31.4375,813.0625,-449.1875,2
-1.79876794,-2.037431342,-3.257049579,-3.470478091,-3.810074977,-3.554568501,-0.5249461817,41.375,811.375,-459.5625,1
0.6347006991,-0.5069811184,1.572924313,0.8712999866,0.2680275118,0.408554604,-1.458563002,30.6875,813.25,-450.0625,1
1.720063656,2.04010752,0.9352757702,1.543807982,1.481674671,1.85293508,1.05962889,22.5,804.25,-467.6875,1
-0.943580898,-1.329976077,-0.5531326474,-0.972335919,0.1903351273,-1.192465652,-0.8012024164,28.75,802,-469.375,1
1.41448026,1.212976728,0.9299342144,1.000499922,-0.4246855872,0.459959895,2.224423933,28.8125,794.125,-480.9375,1
-3.172711081,-2.085990834,-1.377387072,-1.168492612,-0.8384209777,-0.4780658437,-2.546012235,24.5625,791.875,-485,1
1.720000233,0.9943568888,1.04014424,0.1598289039,0.4948174663,1.237918264,0.4106707557,31.25,792.1875,-485.375,1
2.788628768,2.698663981,0.7544813129,1.664483399,1.439583539,-0.2182174589,0.2146088115,24.25,795.5625,-479.6875,1
-4.022248378,-3.021079132,-1.481709628,-2.158363575,-2.183551777,-2.993466194,1.048820471,29.8125,796.375,-477,1
2.980958137,1.440933928,0.8611584243,1.65724989,1.549123817,3.788035221,-1.964230747,26.625,792.3125,-484.375,1
-3.457651455,-1.999362213,-1.356835719,-1.673642042,-1.427099775,-3.653961217,-1.971231222,29.3125,788.625,-488.5,1
1.725273602,1.672189235,0.3833288925,1.268847243,0.8717092228,2.648639756,5.564093191,26.9375,789.875,-487,1
1.285392161,-0.3225964629,2.042031089,-0.2119292604,0.5644917574,-0.4353226553,-3.107119047,29.5625,793.375,-483,1
-2.959342791,-1.487615288,-3.811452719,-1.717761163,-3.176462792,-1.60822784,-1.13727946,28.25,788.5625,-488,1
1.9862959,2.000128872,2.012860869,1.617576338,3.724398499,1.388612535,2.879630615,27.5,787.0625,-489.625,1
-2.288837236,-1.395855154,-0.8917586889,-1.12383692,-1.876307988,-1.237653443,-2.944025714,24.8125,790.0625,-486.4375,1
2.242215242,0.8222616422,1.475764744,1.625007814,1.218921525,0.6050122873,1.246821783,28.6875,792.625,-482.8125,1
-0.4573493912,-0.6493981811,-0.6653351712,-1.339423603,-1.822465307,-0.8107835469,1.111032633,27.875,785.6875,-490.4375,1
